t,ci_lower,ci_upper
0,-0.000887,0.002384
1,-0.003176,-0.000282
2,-0.001806,0.000695
3,-0.000148,0.002399
4,0.000105,0.002854
5,-0.002974,-0.000552
6,-0.002061,0.000955
7,-0.000658,0.001638
8,-0.001738,0.000919
9,-0.001359,0.00134
10,-0.001394,0.001759
11,-0.000979,0.001383
12,-0.00235,4e-05
13,0.00053,0.002734
14,-0.002853,-0.000801
15,-0.000677,0.002328
16,-0.002137,0.000618
17,-0.000754,0.001942
18,-0.000127,0.002184
19,-0.000849,0.001539
20,0.000387,0.002798
21,-0.001344,0.001132
22,-0.001683,0.000843
23,-0.000365,0.002013
24,-6.3e-05,0.00173
25,-0.001831,0.000567
26,-0.000638,0.001849
27,-0.001571,0.000838
28,-0.001746,0.000775
29,-0.001231,0.00098
30,-0.002319,0.00087
